com.csshooter.roadshoot,except
ytnd.audiovideocutter,except
com.appleshooter.blood,動作
com.datinggallery.mbf,except
com.opensystem.androidassaultcorps2,探險遊戲
com.wikia.singlewikia.dragonvale,娛樂
com.ch7.android,except
com.dojoke.telugu,社交
com.samouapps.achki.smsfarsi.iranian,通訊
us.screen.recorder,媒體與影片
com.mobiletradeae,except
my.app.kw2a,except
com.teachersparadise.vangoghpaintingcoloring,教育遊戲
com.onetouch.main,生活品味
com.reskingame.mylittlefarm,模擬遊戲
com.avika.englishtamildiction,教育
com.wsad.icecreammaker,休閒
com.newandaddictivetopfreeadventuregames.snipermission,except
com.dream.gladiator.battle.glory,except
com.revesoft.mobiledialer.mother_talk.senbag_dialer,通訊
